Category,temp_min,temp_max,rainfall
1901,23.03,30.4,2106.77
1902,22.98,30.34,2334.47
1903,22.99,30.35,2541.25
1904,23.01,30.37,2306.62
1905,23.04,30.4,2459.92
1906,23.02,30.38,2818.28
1907,22.97,30.33,2112.76
1908,23.04,30.4,2374.48
1909,23,30.36,2564.05
1910,22.98,30.34,2494.83
1911,23.64,31,2365.74
1912,23.75,31.11,2565.52
1913,23.67,31.04,3315.93
1914,23.97,31.33,2482.3
1915,23.86,31.23,2535.18
1916,23.49,30.86,2413.53
1917,23.24,30.6,2883.22
1918,23.02,30.38,2584.39
1919,23.82,31.18,2525.4
1920,23.71,31.07,2309.67
1921,23.4,30.76,2785.57
1922,23.47,30.83,2520.18
1923,23.4,30.77,2313.51
1924,23.52,30.57,2781.7
1925,23.07,30.97,3138.49
1926,23.32,31.36,2380.27
1927,23.24,31,2781.67
1928,23.19,31.06,2765.67
1929,23.01,30.83,2198.02
1930,23.39,31.24,2386.29
1931,23.63,31.34,2835.67
1932,23.05,30.72,2355.9
1933,23.15,30.68,2675.62
1934,23.04,30.47,2847.47
1935,23.38,30.93,2343.58
1936,23.46,30.83,2468.31
1937,23.51,31.01,2605.9
1938,23.38,30.91,2493.31
1939,23.28,30.75,2628.85
1940,23.6,31.19,2068.96
1941,24.1,31.57,2504.27
1942,23.2,30.56,3005.95
1943,23.04,30.4,2120.92
1944,23.15,30.51,2085.49
1945,23.16,30.52,2674.08
1946,23.36,30.5,2622.11
1947,23.41,30.4,2814.91
1948,23.82,31.2,2934.93
1949,23.71,31.02,2498.24
1950,23.37,30.8,2746.16
1951,23.04,30.43,2614.33
1952,23.16,30.4,3063.05
1953,23.17,30.48,2280.15
1954,22.98,30.22,2840.39
1955,22.91,30.31,2439.08
1956,22.76,30.08,2671.29
1957,23.19,30.46,2287.64
1958,23.36,30.88,2273.49
1959,23.31,30.51,2775.81
1960,23.25,30.5,2137.23
1961,23.07,30.35,2109.54
1962,23.03,30.19,2430.49
1963,23.18,30.42,1900.73
1964,23.14,30.26,3143.91
1965,22.91,30.34,2189.77
1966,23.17,30.46,2563.65
1967,23,30.1,3019.72
1968,22.81,30.48,2253.6
1969,23.18,30.64,2407.16
1970,23.13,30.47,2318.44
1971,22.81,30.21,1776.96
1972,23.15,30.64,1869.38
1973,23.37,30.47,2909.38
1974,22.92,30.19,2160.46
1975,22.77,30.15,2129.1
1976,22.71,30.35,2156.98
1977,23.08,30.57,1915.21
1978,23.28,30.59,2870.73
1979,23.27,30.81,2320.84
1980,23.27,30.65,2782.29
1981,23.36,30.86,1841.72
1982,23.42,30.86,1899.39
1983,23.66,31.18,2000.65
1984,23.07,30.3,3092.86
1985,23.13,30.73,2397.09
1986,23.31,30.85,2607.93
1987,23.69,31.14,2559.31
1988,23.69,30.86,2677.6
1989,23.4,30.71,2547.74
1990,23.74,31.22,2025.63
1991,23.81,31.07,2386.1
1992,23.71,31.04,2464.29
1993,23.7,30.88,2640.32
1994,23.81,30.94,2325.27
1995,24.03,30.95,2995.51
1996,23.85,30.98,2652.83
1997,24.16,31.46,1687.02
1998,24.51,31.69,2207.53
1999,23.9,30.91,2457.97
2000,24.01,31.14,2703.91
2001,24.07,31.3,2657.65
2002,24.29,31.75,2172.87
2003,24.15,31.3,2846.32
2004,24.05,31.35,2430.41
2005,24.12,31.3,2293.51
2006,24.05,31.04,2620.32
2007,24.17,30.88,2824.8
2008,24.07,30.74,2847.23
2009,24.29,30.99,2494.81
2010,24.57,31.31,2703.85
2011,24.38,30.89,2760.97
2012,24.41,31.05,2595.82
2013,24.61,31.15,2767.03
2014,24.31,31.32,2132.6
2015,24.51,31.52,1984.05
2016,24.86,31.55,2455.27
2017,24.39,31.22,2625.53
2018,24.01,31.73,2573.56
2019,24.38,32.05,1847.01
2020,24.26,31.84,2484.51
2021,24.07,31.5,3195.1
2022,23.89,31.58,2894.53
